Altium Designer Pick and Place Locations
D:\projects\nano-carrier\Altium\V_1_1\Output\Pick Place\Pick Place for nano_carrier_pcb.txt

========================================================================================================================
File Design Information:

Date:       19/10/20
Time:       19:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                            
U6         TopLayer    FP-DGK0008A-MFG           59.3250      14.4000      270      "IC TRNSLTR BIDIRECTIONAL 8VSSOP"                                                      
CAM        BottomLayer MOLEX_52271_15PIN         69.9868      48.0597      360      "15 pin FPC connector"                                                                 
C41        TopLayer    cap0603                   23.9250      24.0750      180      "standard, non-polarized capacitor"                                                    
C40        TopLayer    cap0603                   23.9250      22.6250      180      "standard, non-polarized capacitor"                                                    
R56        TopLayer    RES0603                   58.7250      1.4750       180      100K                                                                                   
IC4        TopLayer    TSOP-6                    56.4750      4.3750       270      "POWER LOAD SWITCH, HIGH SIDE"                                                         
C39        TopLayer    cap0603                   59.3000      4.3000       270      "standard, non-polarized capacitor"                                                    
C38        BottomLayer CAP0402                   75.6500      44.1750      270      "standard, non-polarized capacitor"                                                    
C37        BottomLayer cap0603                   76.8250      43.9500      90       "standard, non-polarized capacitor"                                                    
U8         TopLayer    SC70-6                    79.9000      8.0000       270      "1.8 - 5.5V fast level translator"                                                     
Q5         TopLayer    SC70-3                    75.3750      9.8750       270      "MOSFET, N CH, 60V, 0.2A"                                                              
R55        TopLayer    RES0402                   75.3750      11.7750      180      ""                                                                                     
R54        TopLayer    RES0402                   81.2750      4.7500       270      100K                                                                                   
R53        TopLayer    RES0402                   77.2500      9.5500       270      ""                                                                                     
R52        TopLayer    RES0402                   79.7000      4.7500       270      100K                                                                                   
L4         TopLayer    FB0603                    81.0250      15.9750      270      "MURATA  BLM18EG221SN1D  FERRITE BEAD, 0.05OHM, 2A, 0603"                              
D18        TopLayer    DFN1608D-2                79.4250      16.2500      270      "Schottky diode"                                                                       
C36        TopLayer    cap0603                   80.1000      12.6000      180      "standard, non-polarized capacitor"                                                    
C35        TopLayer    CAP0402                   80.5750      13.9000      360      "standard, non-polarized capacitor"                                                    
FAN        TopLayer    47053-1000                85.3750      11.6500      90       "Fan header, 4-Pin"                                                                    
I2C        TopLayer    JST_GH_4_SIDE             3.3500       42.5250      90       "Header, 4-Pin"                                                                        
D17        TopLayer    SOT-3                     6.8750       42.5250      270      "ESD Suppressors 2-CH"                                                                 
OC1        TopLayer    LED_0603                  85.9750      29.2000      360      "standard LED"                                                                         
OC2        TopLayer    LED_0603                  31.2250      1.3500       0        "standard LED"                                                                         
R51        TopLayer    RES0603                   85.9000      35.6000      180      100K                                                                                   
R50        TopLayer    RES0603                   82.7250      28.9500      360      100K                                                                                   
